Date,Provinsi,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
01/04/2021,Banten,1,19,17,-26,-23,6
02/04/2021,Banten,3,19,37,-38,-59,15
03/04/2021,Banten,-11,4,11,-34,-23,6
04/04/2021,Banten,-5,11,26,-22,-9,2
05/04/2021,Banten,-7,8,8,-33,-23,7
06/04/2021,Banten,-6,10,8,-32,-24,7
07/04/2021,Banten,-7,5,8,-32,-24,8
08/04/2021,Banten,-2,10,23,-32,-23,7
09/04/2021,Banten,-2,10,18,-32,-20,8
10/04/2021,Banten,-3,11,20,-23,-11,3
11/04/2021,Banten,-1,16,31,-22,-7,2
12/04/2021,Banten,-5,13,12,-33,-26,7
13/04/2021,Banten,-27,-5,-22,-46,-33,16
14/04/2021,Banten,-26,-12,-23,-44,-27,14
15/04/2021,Banten,-20,-6,-18,-43,-25,13
16/04/2021,Banten,-14,2,-7,-42,-21,13
17/04/2021,Banten,-19,-4,-20,-44,-12,11
18/04/2021,Banten,-18,-3,-24,-43,-6,11
19/04/2021,Banten,-16,-5,-12,-42,-22,12
20/04/2021,Banten,-14,0,-12,-41,-24,12
21/04/2021,Banten,-12,0,-6,-40,-23,12
22/04/2021,Banten,-12,0,-9,-41,-22,12
23/04/2021,Banten,-10,3,-7,-41,-19,12
24/04/2021,Banten,-12,2,-14,-40,-9,9
25/04/2021,Banten,-11,2,-19,-40,-3,9
26/04/2021,Banten,-10,2,-6,-40,-21,11
27/04/2021,Banten,-10,4,-9,-40,-23,11
28/04/2021,Banten,-10,1,-9,-38,-23,12
29/04/2021,Banten,-1,14,-1,-36,-21,10
30/04/2021,Banten,2,23,1,-31,-18,9
01/05/2021,Banten,4,23,0,-26,-34,9
02/05/2021,Banten,4,21,-12,-27,-3,6
03/05/2021,Banten,3,20,4,-32,-22,8
04/05/2021,Banten,3,22,4,-29,-24,9
05/05/2021,Banten,2,19,3,-28,-24,9
06/05/2021,Banten,2,18,-4,-47,-25,10
07/05/2021,Banten,6,25,-3,-50,-22,10
08/05/2021,Banten,2,20,-10,-48,-14,8
09/05/2021,Banten,6,23,-16,-49,-3,7
10/05/2021,Banten,12,31,7,-49,-35,10
11/05/2021,Banten,16,43,14,-45,-41,11
12/05/2021,Banten,14,48,29,-53,-66,17
13/05/2021,Banten,-1,10,40,-59,-75,9
14/05/2021,Banten,6,22,79,-57,-75,15
15/05/2021,Banten,-1,16,89,-50,-51,7
16/05/2021,Banten,1,16,44,-47,-19,4
17/05/2021,Banten,3,16,28,-50,-37,11
18/05/2021,Banten,2,17,23,-31,-34,10
19/05/2021,Banten,1,14,23,-34,-29,9
20/05/2021,Banten,0,14,15,-37,-25,10
21/05/2021,Banten,-5,8,1,-39,-21,11
22/05/2021,Banten,-6,9,9,-34,-11,8
23/05/2021,Banten,0,14,20,-30,-3,6
24/05/2021,Banten,-4,7,5,-37,-20,9
25/05/2021,Banten,3,19,11,-31,-21,8
26/05/2021,Banten,14,22,48,-35,-59,17
27/05/2021,Banten,3,15,9,-33,-19,9
28/05/2021,Banten,4,20,6,-33,-17,9
29/05/2021,Banten,-8,7,-2,-29,-9,7
30/05/2021,Banten,7,23,25,-27,-1,4
31/05/2021,Banten,8,22,19,-33,-22,8
01/06/2021,Banten,19,32,57,-33,-62,16
02/06/2021,Banten,4,19,13,-29,-19,9
03/06/2021,Banten,8,22,15,-31,-18,9
04/06/2021,Banten,2,17,5,-32,-16,10
05/06/2021,Banten,7,24,25,-24,-7,5
06/06/2021,Banten,7,23,37,-23,-3,5
07/06/2021,Banten,6,19,15,-32,-18,8
08/06/2021,Banten,6,20,12,-32,-19,9
09/06/2021,Banten,6,17,16,-32,-19,9
10/06/2021,Banten,8,21,16,-32,-18,9
