PPKM,Provinsi,Workplace_Mobility
PPKM Mikro,DKI Jakarta,-35.06
PPKM Darurat,DKI Jakarta,-52.2
PPKM Level,DKI Jakarta,-42.75
PPKM Mikro,Banten,-24.53
PPKM Darurat,Banten,-38.93
PPKM Level,Banten,-29.63
PPKM Mikro,Jawa Barat,-24.41
PPKM Darurat,Jawa Barat,-37.53
PPKM Level,Jawa Barat,-28.25
PPKM Mikro,Jawa Timur,-19.82
PPKM Darurat,Jawa Timur,-35.00
PPKM Level,Jawa Timur,-28.44
PPKM Mikro,Jawa Tengah,-22.47
PPKM Darurat,Jawa Tengah,-32.8
PPKM Level,Jawa Tengah,-25.00
PPKM Mikro,DI Yogyakarta,-27.12
PPKM Darurat,DI Yogyakarta,-43.20
PPKM Level,DI Yogyakarta,-35.56
