Date,Provinsi,Kasus_Konfirmasi,Rawat_Inap_RS,Kematian,Workplace_Mobility,Populasi
15/08/2021,DKI Jakarta,84,"58,61","2,37","-36,86",10576400
16/08/2021,DKI Jakarta,"81,99","55,52","2,5","-36,71",10576400
17/08/2021,DKI Jakarta,"74,75","52,93","2,35","-41,14",10576400
18/08/2021,DKI Jakarta,"66,04","50,35","2,08","-36,71",10576400
19/08/2021,DKI Jakarta,"62,78","47,81",2,"-36,57",10576400
20/08/2021,DKI Jakarta,"60,51","45,66","1,47","-36,29",10576400
21/08/2021,DKI Jakarta,"56,08","43,98","1,32","-36,14",10576400
22/08/2021,DKI Jakarta,"51,57","42,14","1,42","-35,86",10576400
23/08/2021,DKI Jakarta,"51,31","40,58","1,34","-35,29",10576400
24/08/2021,DKI Jakarta,"49,7","38,96","1,21","-30,14",10576400
25/08/2021,DKI Jakarta,"47,45","37,61","1,17","-30,00",10576400
26/08/2021,DKI Jakarta,"45,97","36,06","0,95","-29,86",10576400
27/08/2021,DKI Jakarta,"42,83","34,49","0,93","-29,71",10576400
28/08/2021,DKI Jakarta,"38,86","33,23","0,9","-29,57",10576400
29/08/2021,DKI Jakarta,"36,72","32,06","0,7","-29,57",10576400
30/08/2021,DKI Jakarta,"35,37","31,02","0,55","-29,43",10576400
31/08/2021,DKI Jakarta,"34,57","29,88","0,73","-29,14",10576400
01/09/2021,DKI Jakarta,"33,48","28,53","0,76","-29,00",10576400
02/09/2021,DKI Jakarta,"32,13","27,55","0,75","-28,86",10576400
03/09/2021,DKI Jakarta,"29,38","26,7","0,77","-28,71",10576400
04/09/2021,DKI Jakarta,"28,37","25,64","0,77","-28,86",10576400
05/09/2021,DKI Jakarta,"26,76","24,67","0,82","-28,86",10576400
06/09/2021,DKI Jakarta,"25,6","23,45","0,92","-28,86",10576400
07/09/2021,DKI Jakarta,"24,31","22,43","0,77","-28,86",10576400
08/09/2021,DKI Jakarta,"22,01","21,38","0,79","-28,86",10576400
09/09/2021,DKI Jakarta,"20,86","20,45","0,83","-28,71",10576400
10/09/2021,DKI Jakarta,"20,09","19,56","0,84","-28,57",10576400
15/08/2021,Banten,"30,39","12,63","1,21","-24,86",12895300
16/08/2021,Banten,"29,4","12,03","1,12","-25,00",12895300
17/08/2021,Banten,"26,04","11,44","1,11","-30,29",12895300
18/08/2021,Banten,"22,48","10,81",1,"-25,29",12895300
19/08/2021,Banten,"22,48","10,17","0,95","-25,00",12895300
20/08/2021,Banten,"20,46","9,55","0,85","-24,71",12895300
21/08/2021,Banten,"18,69","8,91","0,76","-24,43",12895300
22/08/2021,Banten,"17,22","8,28","0,59","-24,29",12895300
23/08/2021,Banten,"16,58","7,77","0,51","-23,43",12895300
24/08/2021,Banten,"16,26","7,26","0,48","-16,86",12895300
25/08/2021,Banten,"17,37","6,85","0,43","-16,71",12895300
