Provinsi,Sektor,Tahun,Pertumbuhan PDRB
Jawa Timur,Industri Pengolahan,2018,7.55
Jawa Timur,Industri Pengolahan,2019,6.85
Jawa Timur,Industri Pengolahan,2020,-2.06
Jawa Timur,Perdagangan besar & eceran,2018,6.19
Jawa Timur,Perdagangan besar & eceran,2019,5.96
Jawa Timur,Perdagangan besar & eceran,2020,-5.74
Jawa Timur,"Pertanian, kehutanan dan perikanan",2018,-2.13
Jawa Timur,"Pertanian, kehutanan dan perikanan",2019,1.18
Jawa Timur,"Pertanian, kehutanan dan perikanan",2020,0.94
Jawa Timur,Konstruksi,2018,6.61
Jawa Timur,Konstruksi,2019,5.89
Jawa Timur,Konstruksi,2020,-3.28
Jawa Timur,Penyedia akomodasi makan & minum,2018,7.62
Jawa Timur,Penyedia akomodasi makan & minum,2019,7.55
Jawa Timur,Penyedia akomodasi makan & minum,2020,-8.87
